date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:15	1175/1175	------	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Feb%202022%2016:14:03%20GMT	http://mdc.17173.com/45	E:/mdc2/mdc/mdc.17173.com/45.html	(from http://mdc.17173.com/chengdu2017)
00:31:15	1175/1175	------	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Feb%202022%2016:14:03%20GMT	http://mdc.17173.com/46	E:/mdc2/mdc/mdc.17173.com/46.html	(from http://mdc.17173.com/chengdu2017)
00:31:15	14277/14277	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:04%20GMT	http://mdc.17173.com/article/info-5904.html	E:/mdc2/mdc/mdc.17173.com/article/info-5904.html	(from http://mdc.17173.com/chengdu2017)
00:31:15	14626/14626	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:04%20GMT	http://mdc.17173.com/article/info-5905.html	E:/mdc2/mdc/mdc.17173.com/article/info-5905.html	(from http://mdc.17173.com/chengdu2017)
00:31:15	56202/56202	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:04%20GMT	http://mdc.17173.com/article/info-6177.html	E:/mdc2/mdc/mdc.17173.com/article/info-6177.html	(from http://mdc.17173.com/suzhou2017)
00:31:15	7980/7980	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:05%20GMT	http://mdc.17173.com/lists/suzhou2017?cid=49	E:/mdc2/mdc/mdc.17173.com/lists/suzhou2017536c.html	(from http://mdc.17173.com/suzhou2017)
00:31:15	7980/7980	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:05%20GMT	http://mdc.17173.com/lists/suzhou2017?cid=50	E:/mdc2/mdc/mdc.17173.com/lists/suzhou20177fdd.html	(from http://mdc.17173.com/suzhou2017)
00:31:15	7980/7980	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:05%20GMT	http://mdc.17173.com/lists/suzhou2017?cid=53	E:/mdc2/mdc/mdc.17173.com/lists/suzhou20176e30.html	(from http://mdc.17173.com/suzhou2017)
00:31:15	7980/7980	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:05%20GMT	http://mdc.17173.com/lists/suzhou2017?cid=52	E:/mdc2/mdc/mdc.17173.com/lists/suzhou20174995.html	(from http://mdc.17173.com/suzhou2017)
00:31:15	27549/27549	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:06%20GMT	http://mdc.17173.com/article/info-6173.html	E:/mdc2/mdc/mdc.17173.com/article/info-6173.html	(from http://mdc.17173.com/suzhou2017)
00:31:15	34674/34674	------	200	untouched ('')	image/jpeg	date:Thu,%2001%20Jun%202017%2003:11:47%20GMT	http://i1.17173cdn.com/7m10xk/YWxqaGBf/2017/06/01/149628670749938.jpg	E:/mdc2/mdc/i1.17173cdn.com/7m10xk/YWxqaGBf/2017/06/01/149628670749938.jpg	(from http://mdc.17173.com/suzhou2017)
00:31:15	16126/16126	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:06%20GMT	http://mdc.17173.com/article/info-6175.html	E:/mdc2/mdc/mdc.17173.com/article/info-6175.html	(from http://mdc.17173.com/suzhou2017)
00:31:15	18003/18003	------	200	untouched ('')	image/jpeg	date:Thu,%2001%20Jun%202017%2003:16:11%20GMT	http://i2.17173cdn.com/7m10xk/YWxqaGBf/2017/06/01/149628697122157.jpg	E:/mdc2/mdc/i2.17173cdn.com/7m10xk/YWxqaGBf/2017/06/01/149628697122157.jpg	(from http://mdc.17173.com/suzhou2017)
00:31:15	25351/25351	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:07%20GMT	http://mdc.17173.com/article/info-6194.html	E:/mdc2/mdc/mdc.17173.com/article/info-6194.html	(from http://mdc.17173.com/suzhou2017)
00:31:15	4312/4312	------	200	untouched ('')	image/jpeg	date:Sun,%2004%20Jun%202017%2012:36:07%20GMT	http://i2.17173cdn.com/7m10xk/YWxqaGBf/2017/06/04/149657976740828.jpg	E:/mdc2/mdc/i2.17173cdn.com/7m10xk/YWxqaGBf/2017/06/04/149657976740828.jpg	(from http://mdc.17173.com/suzhou2017)
00:31:15	14681/14681	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:07%20GMT	http://mdc.17173.com/article/info-6193.html	E:/mdc2/mdc/mdc.17173.com/article/info-6193.html	(from http://mdc.17173.com/suzhou2017)
00:31:15	6201/6201	------	200	untouched ('')	image/jpeg	date:Sat,%2003%20Jun%202017%2009:33:32%20GMT	http://i2.17173cdn.com/7m10xk/YWxqaGBf/2017/06/03/149648241250545.jpg	E:/mdc2/mdc/i2.17173cdn.com/7m10xk/YWxqaGBf/2017/06/03/149648241250545.jpg	(from http://mdc.17173.com/suzhou2017)
00:31:15	1175/1175	------	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Feb%202022%2016:14:08%20GMT	http://mdc.17173.com/48	E:/mdc2/mdc/mdc.17173.com/48.html	(from http://mdc.17173.com/suzhou2017)
00:31:15	1175/1175	------	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Feb%202022%2016:14:08%20GMT	http://mdc.17173.com/49	E:/mdc2/mdc/mdc.17173.com/49.html	(from http://mdc.17173.com/suzhou2017)
00:31:15	1175/1175	------	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Feb%202022%2016:14:09%20GMT	http://mdc.17173.com/50	E:/mdc2/mdc/mdc.17173.com/50.html	(from http://mdc.17173.com/suzhou2017)
00:31:15	1175/1175	------	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Feb%202022%2016:14:09%20GMT	http://mdc.17173.com/51	E:/mdc2/mdc/mdc.17173.com/51.html	(from http://mdc.17173.com/suzhou2017)
00:31:15	1175/1175	------	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Feb%202022%2016:14:09%20GMT	http://mdc.17173.com/52	E:/mdc2/mdc/mdc.17173.com/52.html	(from http://mdc.17173.com/suzhou2017)
00:31:15	59691/59691	------	200	untouched ('')	image/jpeg	date:Sat,%2005%20Aug%202017%2004:39:47%20GMT	http://i1.17173cdn.com/7m10xk/YWxqaGBf/2017/08/05/150190798677523.jpg	E:/mdc2/mdc/i1.17173cdn.com/7m10xk/YWxqaGBf/2017/08/05/150190798677523.jpg	(from http://mdc.17173.com/suzhou2017)
00:31:15	81787/81787	------	200	untouched ('')	image/jpeg	date:Sat,%2005%20Aug%202017%2004:39:47%20GMT	http://i3.17173cdn.com/7m10xk/YWxqaGBf/2017/08/05/150190798725609.jpg	E:/mdc2/mdc/i3.17173cdn.com/7m10xk/YWxqaGBf/2017/08/05/150190798725609.jpg	(from http://mdc.17173.com/suzhou2017)
00:31:15	54555/54555	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:10%20GMT	http://mdc.17173.com/article/info-6226.html	E:/mdc2/mdc/mdc.17173.com/article/info-6226.html	(from http://mdc.17173.com/dalian2017)
00:31:15	8496/8496	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:10%20GMT	http://mdc.17173.com/lists/dalian2017?cid=49	E:/mdc2/mdc/mdc.17173.com/lists/dalian2017536c.html	(from http://mdc.17173.com/dalian2017)
00:31:15	8496/8496	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:11%20GMT	http://mdc.17173.com/lists/dalian2017?cid=50	E:/mdc2/mdc/mdc.17173.com/lists/dalian20177fdd.html	(from http://mdc.17173.com/dalian2017)
00:31:15	8496/8496	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:11%20GMT	http://mdc.17173.com/lists/dalian2017?cid=53	E:/mdc2/mdc/mdc.17173.com/lists/dalian20176e30.html	(from http://mdc.17173.com/dalian2017)
00:31:15	8496/8496	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:11%20GMT	http://mdc.17173.com/lists/dalian2017?cid=52	E:/mdc2/mdc/mdc.17173.com/lists/dalian20174995.html	(from http://mdc.17173.com/dalian2017)
00:31:15	25928/25928	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:12%20GMT	http://mdc.17173.com/article/info-6228.html	E:/mdc2/mdc/mdc.17173.com/article/info-6228.html	(from http://mdc.17173.com/dalian2017)
00:31:15	32854/32854	------	200	untouched ('')	image/jpeg	date:Thu,%2015%20Jun%202017%2008:27:10%20GMT	http://i1.17173cdn.com/7m10xk/YWxqaGBf/2017/06/15/149751523067251.jpg	E:/mdc2/mdc/i1.17173cdn.com/7m10xk/YWxqaGBf/2017/06/15/149751523067251.jpg	(from http://mdc.17173.com/dalian2017)
00:31:15	16958/16958	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:12%20GMT	http://mdc.17173.com/article/info-6227.html	E:/mdc2/mdc/mdc.17173.com/article/info-6227.html	(from http://mdc.17173.com/dalian2017)
00:31:15	12382/12382	------	200	untouched ('')	image/jpeg	date:Thu,%2015%20Jun%202017%2008:30:49%20GMT	http://i1.17173cdn.com/7m10xk/YWxqaGBf/2017/06/15/149751544969845.jpg	E:/mdc2/mdc/i1.17173cdn.com/7m10xk/YWxqaGBf/2017/06/15/149751544969845.jpg	(from http://mdc.17173.com/dalian2017)
00:31:15	18003/18003	------	200	untouched ('')	image/jpeg	date:Thu,%2001%20Jun%202017%2003:16:11%20GMT	http://i1.17173cdn.com/7m10xk/YWxqaGBf/2017/06/01/149628697122157.jpg	E:/mdc2/mdc/i1.17173cdn.com/7m10xk/YWxqaGBf/2017/06/01/149628697122157.jpg	(from http://mdc.17173.com/dalian2017)
00:31:15	22290/22290	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:19%20GMT	http://mdc.17173.com/article/info-6277.html	E:/mdc2/mdc/mdc.17173.com/article/info-6277.html	(from http://mdc.17173.com/dalian2017)
00:31:15	45483/45483	------	200	untouched ('')	image/jpeg	date:Mon,%2010%20Jul%202017%2010:56:49%20GMT	http://i2.17173cdn.com/7m10xk/YWxqaGBf/2017/07/10/149968420986976.jpg	E:/mdc2/mdc/i2.17173cdn.com/7m10xk/YWxqaGBf/2017/07/10/149968420986976.jpg	(from http://mdc.17173.com/dalian2017)
00:31:15	53910/53910	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:20%20GMT	http://mdc.17173.com/article/info-6289.html	E:/mdc2/mdc/mdc.17173.com/article/info-6289.html	(from http://mdc.17173.com/jinan2017)
00:31:15	7973/7973	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:20%20GMT	http://mdc.17173.com/lists/jinan2017?cid=61	E:/mdc2/mdc/mdc.17173.com/lists/jinan201716f0.html	(from http://mdc.17173.com/jinan2017)
00:31:15	7973/7973	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:20%20GMT	http://mdc.17173.com/lists/jinan2017?cid=62	E:/mdc2/mdc/mdc.17173.com/lists/jinan20177575.html	(from http://mdc.17173.com/jinan2017)
00:31:15	7973/7973	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:21%20GMT	http://mdc.17173.com/lists/jinan2017?cid=65	E:/mdc2/mdc/mdc.17173.com/lists/jinan2017eed4.html	(from http://mdc.17173.com/jinan2017)
00:31:15	7973/7973	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:21%20GMT	http://mdc.17173.com/lists/jinan2017?cid=64	E:/mdc2/mdc/mdc.17173.com/lists/jinan201744c0.html	(from http://mdc.17173.com/jinan2017)
00:31:15	42471/42471	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:21%20GMT	http://mdc.17173.com/article/info-6288.html	E:/mdc2/mdc/mdc.17173.com/article/info-6288.html	(from http://mdc.17173.com/jinan2017)
00:31:15	24736/24736	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:22%20GMT	http://mdc.17173.com/article/info-6314.html	E:/mdc2/mdc/mdc.17173.com/article/info-6314.html	(from http://mdc.17173.com/jinan2017)
00:31:15	10774/10774	------	200	untouched ('')	image/jpeg	date:Wed,%2002%20Aug%202017%2001:18:17%20GMT	http://i2.17173cdn.com/7m10xk/YWxqaGBf/2017/08/02/150163669715563.jpg	E:/mdc2/mdc/i2.17173cdn.com/7m10xk/YWxqaGBf/2017/08/02/150163669715563.jpg	(from http://mdc.17173.com/jinan2017)
00:31:15	147035/147035	------	200	untouched ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:14:22%20GMT	http://mdc.17173.com/article/info-6312.html	E:/mdc2/mdc/mdc.17173.com/article/info-6312.html	(from http://mdc.17173.com/jinan2017)
00:31:15	8541/8541	------	200	untouched ('')	image/jpeg	date:Tue,%2001%20Aug%202017%2008:36:36%20GMT	http://i1.17173cdn.com/7m10xk/YWxqaGBf/2017/08/01/150157659533369.jpg	E:/mdc2/mdc/i1.17173cdn.com/7m10xk/YWxqaGBf/2017/08/01/150157659533369.jpg	(from http://mdc.17173.com/jinan2017)
